Company,Location HQ,Employees Laid Off,Date,Percentage Laid Off,Industry,Source URL,Stage,Funds Raised (mm USD),Country,Date Added,AI Mentioned,extraction_timestamp,source,source_url
The Trade Desk,Los Angeles,585,3/9/2026,15%,Marketing,https://www.adweek.com/programmatic/the-trade-desk-sheds-15-of-staff-on-heels-of-lackluster-q2-showing/,Post-IPO,$257,United States,5/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Hale,"Berlin
Non-U.S.",,3/9/2026,100%,Healthcare,https://femtechinsider.com/pelvic-pain-startup-hale-announces-closure/,Seed,$1,Germany,5/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Orionx,"Santiago
Non-U.S.",,3/9/2026,100%,Crypto,https://cryptobriefing.com/orionx-shuts-down-7m-custody-gap/,Series A,,Chile,8/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Zscaler,SF Bay Area,,3/9/2026,3%,Security,https://www.wsj.com/business/earnings/zscaler-loss-narrows-as-revenue-soars-boosted-by-ai-8dceaf02,Post-IPO,$148,United States,4/9/2026,Yes,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Uber,SF Bay Area,3300,2/9/2026,10%,Transportation,https://www.bloomberg.com/news/articles/2026-09-02/uber-to-cut-3-300-jobs-in-company-overhaul-to-reduce-management-layers,Post-IPO,"$25,200",United States,2/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
PayPal,"Bengaluru
Non-U.S.",1675,2/9/2026,,Finance,https://www.thehindubusinessline.com/incoming/paypal-to-lay-off-nearly-a-quarter-of-india-workforce-amid-global-restructuring/article71419574.ece,Post-IPO,$216,India,2/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Bizzabo,New York City,,2/9/2026,,Marketing,https://www.calcalistech.com/ctechnews/article/duz577shb,Series E,$194,United States,4/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Wonder,New York City,150,1/9/2026,7%,Food,https://www.nrn.com/restaurant-technology/wonder-lays-off-7-of-staff-in-streamlining-effort,Series B,$850,United States,4/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Amazon,SF Bay Area,148,1/9/2026,,Retail,https://www.sfchronicle.com/tech/article/amazon-synopsys-tech-layoffs-22413103.php,Post-IPO,"$8,100",United States,2/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
Synopsys,SF Bay Area,128,1/9/2026,,Other,https://www.sfchronicle.com/tech/article/amazon-synopsys-tech-layoffs-22413103.php,Post-IPO,,United States,2/9/2026,No,2026-09-09T06:09:19.717582+00:00,Layoffs.fyi (Airtable embed),https://layoffs.fyi/
